"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""18 die as monster storm brings rain, snow, cold across US""","https://telanganatoday.com/18-die-as-monster-storm-brings-rain-snow-cold-across-us","2022-12-25 04:21:41","AP","Telangana Today","India","World","English","Across the U.S., officials have attributed deaths to exposure, car crashes, a falling tree limb and other effects of the storm.","",""
"""The lawyer spoke about dangerous loans for financial well-being""","https://thenewsglory.com/the-lawyer-spoke-about-dangerous-loans-for-financial-well-being/","2022-12-25 04:15:00","The News Glory","Tng News","India","World","English","On December 25, lawyer Elena Kuderko spoke about which loans are considered dangerous. In an interview with the Prime agency, she explained that dangerous loans exceed the debt load indicator (LBR). To determine it, it is enough to subtract from the average monthly income all payments on already issued loans. Kuderko clarified that the income […]","",""
"""Section 144 Imposed, Ban On Liquor In These Areas In Mangaluru Till December 27""","https://www.thetimesofbengal.com/national/section-144-imposed-ban-on-liquor-in-these-areas-in-mangaluru-till-december-27/","2022-12-25 04:09:30","admin","The Times Of Bengal","India","Top","English","Mangaluru: A man was stabbed to death by two unidentified miscreants in Katippalla, Surathkal area The post Section 144 Imposed, Ban On Liquor In These Areas In Mangaluru Till December 27 appeared first on The Times of Bengal.","",""
"""Pele’s Household Collect At Brazil Legend’s Hospital On Christmas Eve. See Pic | Soccer Information""","https://www.thetimesofbengal.com/sports/peles-household-collect-at-brazil-legends-hospital-on-christmas-eve-see-pic-soccer-information/","2022-12-25 04:07:30","admin","The Times Of Bengal","India","Sports","English","Relations visited the legendary Pele on Saturday on the Sao Paulo hospital the place he’s The post Pele’s Household Collect At Brazil Legend’s Hospital On Christmas Eve. See Pic | Soccer Information appeared first on The Times of Bengal.","",""
"""Vizag Police seize 124 Kg Cannabis; seven persons arrested""","https://telanganatoday.com/vizag-police-seize-124-kg-cannabis-seven-persons-arrested","2022-12-25 03:56:20","ANI","Telangana Today","India","Top","English","""City Task Force Police raided a parking place of a ropeway in Visakhapatnam and caught seven persons, seizing 124 Kilos of 'Cannabis',"" police said","",""
"""Angie Arizaga thought that Jota Benz was going to ask for her hand when she suffered an accident in “EEG”""","https://thenewsglory.com/angie-arizaga-thought-that-jota-benz-was-going-to-ask-for-her-hand-when-she-suffered-an-accident-in-eeg/","2022-12-25 03:55:36","The News Glory","Tng News","India","World","English","Angie Arizaga sparked laughter when telling that when Jack Benz he hurt his knee during a circuit of “This is war”, she thought it was a secret plan to ask for her hand in an unexpected way. “Jota told me that when she asks for my hand, she was going to plan something that was […]","",""
"""David Warner slams CA for lack of help""","https://www.thetimesofbengal.com/sports/david-warner-slams-ca-for-lack-of-help/","2022-12-25 03:55:29","admin","The Times Of Bengal","India","Sports","English","David Warner on Saturday slammed Cricket Australia (CA) for his or her lack of help The post David Warner slams CA for lack of help appeared first on The Times of Bengal.","",""
"""10 dead, 55 wounded as shells pummel Ukrainian city of Kherson, officials say""","https://www.thetimesofbengal.com/international/10-dead-55-wounded-as-shells-pummel-ukrainian-city-of-kherson-officials-say/","2022-12-25 03:54:55","admin","The Times Of Bengal","India","World","English","KYIV, Ukraine — Russian shells pummeled the southern Ukrainian city of Kherson on Saturday, killing The post 10 dead, 55 wounded as shells pummel Ukrainian city of Kherson, officials say appeared first on The Times of Bengal.","",""
"""Where are our bridesmaids? – Unmarried men rally in Maharashtra""","https://thenewsglory.com/where-are-our-bridesmaids-unmarried-men-rally-in-maharashtra/","2022-12-25 03:50:37","The News Glory","Tng News","India","Top","English","Mumbai: There is an allegation that there is a ban on the test to determine whether the fetus is male or female, but it is not strictly followed. If the male-female ratio decreases in India, various problems arise in the society. In many states it is 800 females per 1,000 males and in some states […]","",""
"""Minor girl mauled to death by tiger in Uttar Pradesh""","https://telanganatoday.com/minor-girl-mauled-to-death-by-tiger-in-uttar-pradesh","2022-12-25 03:46:33","IANS","Telangana Today","India","Top","English","The forest department officials and police later recovered the mutilated body about 700 metres from the spot and sent it for post-mortem.","",""
